lang,gl,var1,var2
jeha1242,1D,1D.INCL,
jeha1242,bamboo,bamboo.tube,
jeha1242,child,offspring,
jeha1242,house,hut,
jeha1242,how,how?,
jeha1242,ipoh,ipoh.tree,poison
jeha1242,leech,type.of.leech,
jeha1242,many,to.be.many,
jeha1242,move.along.hillside,to.move.along.mountainside,
jeha1242,NEG,to.not.exist,
jeha1242,one,only,
jeha1242,other,to.be.other,
jeha1242,Q=,Q,
jeha1242,river,stream,water
jeha1242,root.crop,rootcrop,tuber
jeha1242,RP,to.be.able.to,
jeha1242,same,to.be.same,to.be.the.same
jeha1242,straight,to.be.straight,
jeha1242,to.be.adult,to.be.grown.up,
jeha1242,to.be.dry,to.dry,
jeha1242,to.be.finished,to.be.gone,
jeha1242,to.be.wrong,to.disagree,
jeha1242,to.boil,to.roast,
jeha1242,to.cast.fishing.net,to.fish.with.casting.net,
jeha1242,to.cook,to.cook.in.bamboo.tube,
jeha1242,to.cut,to.cut.off,
jeha1242,to.descend,to.go.down,
jeha1242,to.disperse,to.spread,
jeha1242,to.do,to.say,
jeha1242,to.hear,to.listen,
jeha1242,to.lay.cross.beam,to.lay.crossbeam,
jeha1242,to.look,to.see,