lang,gl,var1
orko1234,-3PC,-3PC.POSS
orko1234,=NMLZ,NMLZ
orko1234,=TR,TR
orko1234,1SG,1SG.IRR
orko1234,2DL,2PC
orko1234,3PL,PL
orko1234,3SG.IRR=,3SG.IRR
orko1234,3SG.NREC.PST=,3SG.NREC.PST
orko1234,3SG.REC.PST=,3SG.REC.PST
orko1234,across,along
orko1234,also,too
orko1234,big,large
orko1234,burn,roast
orko1234,close,next.to
orko1234,DEM.3SG.POSS,of.it
orko1234,DEM.SG.MED,DEM.MED
orko1234,DEM.SG.PROX,DEM.PROX
orko1234,destroy,spoil
orko1234,down,under
orko1234,first,first born
orko1234,for,in.order.to
orko1234,good,be.good
orko1234,here,PROX
orko1234,in,insides
orko1234,like,be.like
orko1234,look after; look for,look
orko1234,man,husband
orko1234,old.man,old men
orko1234,POT=,POT
orko1234,still,yet
orko1234,tell.story,tell a story