lang,gl,var1,var2,var3,var4
toto1304,-APPL,-APPL1,-APPL2,,
toto1304,-LV,-UV2,,,
toto1304,-NR,-L.NR,,,
toto1304,=1pi.GEN,=2.GEN,,,
toto1304,=CPL,CPL,,,
toto1304,1pi,2p,,,
toto1304,alike,similar,,,
toto1304,arrange,organise,,,
toto1304,astonish,surprise,,,
toto1304,AV.RLS-,POT.RLS-,ST.RLS-,,
toto1304,be.related.as-,be.relative.of-,,,
toto1304,be.silent,be silent,,,
toto1304,beat,hit,,,
toto1304,become,happen,change,,
toto1304,bicycle,cycle,,,
toto1304,boorish,tacky,,,
toto1304,by.oneself,own,,,
toto1304,carry,hold,,,
toto1304,cigarette,smoke,,,
toto1304,climb,go.up,,,
toto1304,coil.around,coil around,,,
toto1304,cooked.rice,cooked rice,rice.plant,,
toto1304,cover.with.a.lid,cover with a lid,,,
toto1304,dead,die,,,
toto1304,debt,owe,,,
toto1304,defecate,feces,,,
toto1304,definite,firm,,,
toto1304,different,other,,,
toto1304,dry.banana.leafs,dry banana leafs,,,
toto1304,Elementary.School,Elementary School,,,
toto1304,fear,be.afraid,,,
toto1304,have.to,must,,,
toto1304,help,rescue,,,
toto1304,how.many?,how many?,how.much?,,
toto1304,hulled.rice,hulled rice,,,
toto1304,ill-treat,mishandle,,,
toto1304,in.order.to,so.that,,,
toto1304,INCH-,INCH,,,
toto1304,intention,purpose,,,
toto1304,INTJ,a,e,o,well
toto1304,k.o.tree,k.o. tree,,,
toto1304,kind,shape,,,
toto1304,lie.prone,lie prone,,,
toto1304,lift,raise,,,
toto1304,like.that,like that,,,
toto1304,like.this,like this,,,
toto1304,LK,LK=,,,
toto1304,LOC,LOC-,,,
toto1304,look.after,look after,,,
toto1304,lose,lost,,,
toto1304,man,male,husband,,
toto1304,marry,marriage,,,
toto1304,MED,DEM,,,
toto1304,month,moon,,,
toto1304,pain,painful,,,
toto1304,pass.by,pass by,,,
toto1304,perhaps,possibly,,,
toto1304,person,parents,wife,,
toto1304,PN,Lakuan,Mandar,Tolitoli,
toto1304,possession,owner,,,
toto1304,POT.AV-,ST.AV-,,,
toto1304,POT.AV.RLS-,ST.AV.RLS-,,,
toto1304,Praise.be.to.God,Praise be to God,,,
toto1304,programme,agenda,,,
toto1304,quick,fast,,,
toto1304,RCP.RLS-,RCP.RLS,,,
toto1304,related,sibling,,,
toto1304,report,inform,,,
toto1304,road,way,,,
toto1304,say,word,language,,
toto1304,see,seek,look.for,look for,
toto1304,separation,divorce,,,
toto1304,sit,settle,,,
toto1304,so,thus,,,
toto1304,stone,seed,,,
toto1304,sure,certainly,,,
toto1304,ten,-ty,,,
toto1304,thing,goods,,,
toto1304,though,whereas,,,
toto1304,top,above,,,
toto1304,younger.sibling,younger sibling,,,